X,loan_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,rate
438169,4500,4500, 36 months,10.99%,147.31,B,B2,Enrolled Agent,MORTGAGE,32500,Not Verified,Mar-14,Fully Paid,n,,credit_card,Credit card refinancing,707xx,LA,13.55,0.1099
673358,20000,20000, 36 months,7.89%,625.72,A,A5,Manager,RENT,90000,Source Verified,Jul-15,Fully Paid,n,,credit_card,Credit card refinancing,441xx,OH,5.31,0.0789
1441301,21600,21600, 36 months,16.02%,759.61,C,C5,Legal Administrative Asst.,MORTGAGE,77750,Verified,Jun-17,Current,n,,credit_card,Credit card refinancing,300xx,GA,24.49,0.1602
459303,20000,19950, 36 months,11.99%,664.2,B,B3,"Sr. Specialist, Tax",RENT,110000,Source Verified,Jan-14,Fully Paid,n,  Borrower added on 01/13/14 > Debt consolidation loan<br>,debt_consolidation,Debt consolidation,088xx,NJ,11.24,0.1199
1731712,25000,25000, 60 months,14.08%,582.75,C,C3,Crane Operator,RENT,102000,Not Verified,Oct-17,Charged Off,n,,debt_consolidation,Debt consolidation,945xx,CA,15.95,0.1408
938806,6000,6000, 36 months,7.39%,186.34,A,A4,Officer,RENT,48000,Verified,Mar-16,Fully Paid,n,,debt_consolidation,Debt consolidation,104xx,NY,15.98,0.0739
969056,16000,16000, 36 months,9.75%,514.4,B,B3,Driver,RENT,100333,Not Verified,Feb-16,Charged Off,n,,credit_card,Credit card refinancing,902xx,CA,7.13,0.0975
254812,35000,35000, 60 months,12.39%,785.48,C,C1,Executive,MORTGAGE,225000,Verified,Nov-14,Fully Paid,n,,home_improvement,Home improvement,921xx,CA,32.15,0.1239
181697,12050,12050, 36 months,6.03%,366.75,A,A1,Mandiant,MORTGAGE,115000,Not Verified,Dec-12,Fully Paid,n,"  Borrower added on 12/01/12 > Completing an in-progress basement finishing project, which includes adding an additional bedroom.<br>",home_improvement,Basement Finishing,194xx,PA,3.53,0.0603
1149705,15000,15000, 36 months,18.99%,549.77,D,D3,Senior account executive,RENT,150000,Source Verified,Aug-16,Charged Off,n,,debt_consolidation,Debt consolidation,330xx,FL,9.66,0.1899
1736861,15000,15000, 60 months,17.09%,373.52,D,D1,Registered Nurse,RENT,30000,Not Verified,Oct-17,Current,n,,debt_consolidation,Debt consolidation,208xx,MD,31.08,0.1709
1521166,3000,3000, 36 months,11.49%,98.92,B,B5,Operations,MORTGAGE,90000,Not Verified,Apr-17,Current,n,,debt_consolidation,Debt consolidation,115xx,NY,7.91,0.1149
670224,15000,15000, 36 months,8.18%,471.3,B,B1,,RENT,35000,Verified,Jul-15,Fully Paid,n,,debt_consolidation,Debt consolidation,238xx,VA,24.28,0.0818
1068985,6000,6000, 36 months,9.16%,191.25,B,B2,Maintenance Technician,MORTGAGE,45000,Not Verified,May-16,Charged Off,n,,home_improvement,,330xx,FL,6.59,0.0916
851697,8000,8000, 36 months,12.39%,267.21,C,C1,Senior Designer,RENT,120000,Source Verified,Jan-15,Fully Paid,n,,debt_consolidation,Debt consolidation,926xx,CA,22.65,0.1239
909128,9000,9000, 36 months,8.39%,283.65,B,B1,Human Resource Manager,MORTGAGE,54600,Not Verified,Mar-16,Current,n,,credit_card,Credit card refinancing,010xx,MA,24.99,0.0839
