,X,loan_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,rate
0,438169,4500.0,4500.0,0,10.99%,147.31,1,6,Enrolled Agent,1,32500.0,Not Verified,Mar-14,Fully Paid,n,,1,Credit card refinancing,707xx,17,13.55,0.1099
1,673358,20000.0,20000.0,0,7.89%,625.72,0,4,Manager,3,90000.0,Source Verified,Jul-15,Fully Paid,n,,1,Credit card refinancing,441xx,34,5.31,0.0789
2,1441301,21600.0,21600.0,0,16.02%,759.61,2,14,Legal Administrative Asst.,1,77750.0,Verified,Jun-17,Current,n,,1,Credit card refinancing,300xx,10,24.49,0.1602
3,459303,20000.0,19950.0,0,11.99%,664.2,1,7,"Sr. Specialist, Tax",3,110000.0,Source Verified,Jan-14,Fully Paid,n,  Borrower added on 01/13/14 > Debt consolidation loan<br>,2,Debt consolidation,088xx,30,11.24,0.1199
4,1731712,25000.0,25000.0,1,14.08%,582.75,2,12,Crane Operator,3,102000.0,Not Verified,Oct-17,Charged Off,n,,2,Debt consolidation,945xx,4,15.95,0.1408
5,938806,6000.0,6000.0,0,7.39%,186.34,0,3,Officer,3,48000.0,Verified,Mar-16,Fully Paid,n,,2,Debt consolidation,104xx,33,15.98,0.0739
6,969056,16000.0,16000.0,0,9.75%,514.4,1,7,Driver,3,100333.0,Not Verified,Feb-16,Charged Off,n,,1,Credit card refinancing,902xx,4,7.13,0.0975
7,254812,35000.0,35000.0,1,12.39%,785.48,2,10,Executive,1,225000.0,Verified,Nov-14,Fully Paid,n,,4,Home improvement,921xx,4,32.15,0.1239
8,181697,12050.0,12050.0,0,6.03%,366.75,0,0,Mandiant,1,115000.0,Not Verified,Dec-12,Fully Paid,n,"  Borrower added on 12/01/12 > Completing an in-progress basement finishing project, which includes adding an additional bedroom.<br>",4,Basement Finishing,194xx,37,3.53,0.0603
9,1149705,15000.0,15000.0,0,18.99%,549.77,3,17,Senior account executive,3,150000.0,Source Verified,Aug-16,Charged Off,n,,2,Debt consolidation,330xx,9,9.66,0.1899
10,1736861,15000.0,15000.0,1,17.09%,373.52,3,15,Registered Nurse,3,30000.0,Not Verified,Oct-17,Current,n,,2,Debt consolidation,208xx,19,31.08,0.1709
11,1521166,3000.0,3000.0,0,11.49%,98.92,1,9,Operations,1,90000.0,Not Verified,Apr-17,Current,n,,2,Debt consolidation,115xx,33,7.91,0.1149
12,670224,15000.0,15000.0,0,8.18%,471.3,1,5,,3,35000.0,Verified,Jul-15,Fully Paid,n,,2,Debt consolidation,238xx,44,24.28,0.0818
13,1068985,6000.0,6000.0,0,9.16%,191.25,1,6,Maintenance Technician,1,45000.0,Not Verified,May-16,Charged Off,n,,4,,330xx,9,6.59,0.0916
14,851697,8000.0,8000.0,0,12.39%,267.21,2,10,Senior Designer,3,120000.0,Source Verified,Jan-15,Fully Paid,n,,2,Debt consolidation,926xx,4,22.65,0.1239
15,909128,9000.0,9000.0,0,8.39%,283.65,1,5,Human Resource Manager,1,54600.0,Not Verified,Mar-16,Current,n,,1,Credit card refinancing,010xx,18,24.99,0.0839
16,18967,2000.0,2000.0,0,7.29%,62.02,0,3,,1,60000.0,Not Verified,Feb-11,Fully Paid,n,"  Borrower added on 02/25/11 > I have been a private piano teacher for 18 years, and it has been my dream to run summer piano camps like the ones I attended when I was a student. This year I will make it a reality. I've drawn up course descriptions, found a space to rent, ensured that I can get liability insurance. There has already been a buzz among my students and their parents about how much fun this camp will be.<br/><br/>My space rental at a local church needs to paid 50% now and 50% in July. I am asking for this loan to pay the space rental fees and some initial supplies and advertising fees. <br/><br/>There are three separate courses the children can enroll in, based on their age and experience. In order to break even, I need to recruit a total of 20 children for the two camps for younger kids and 6 children for the camp for older kids. I have a studio of 25 students I teach weekly, plus I have a waiting list. I am a popular teacher -- last year I had only 2 students discontinue lessons. The previous year I had 0 students discontinue lessons. I receive calls and emails monthly asking for new students. Because of this, I don't feel that with the proper advertising that I'll have any trouble filling my camp spaces.<br/><br/>I've priced the camps at a reasonable rate for the area I live in, and I've taken into account expenses including insurance, supplies, fees to hire an assistant teacher, my own salary, and taxes. <br/><br/>In addition to my full-time job teaching piano, I work part-time as a computer programmer for a company that works on government contracts.<br/>",11,Piano Camp Funding,220xx,44,20.38,0.0729
17,755216,16300.0,16300.0,0,20.49%,609.85,4,23,Assistant Directoe,3,41000.0,Source Verified,May-15,Fully Paid,n,,9,Other,134xx,33,29.77,0.2049
18,192428,8200.0,8200.0,0,18.75%,299.55,3,17,POOLCORP,3,42500.0,Not Verified,Oct-12,Fully Paid,n,  Borrower added on 10/09/12 > This load is for the single purpose of debt consolidation.<br>,2,Debt consolidation,704xx,17,7.52,0.1875
19,351496,10000.0,10000.0,0,13.98%,341.68,2,12,REGISTERED NURSE,3,42000.0,Not Verified,Jul-14,Fully Paid,n,,2,Debt consolidation,917xx,4,5.31,0.1398
20,602153,6000.0,6000.0,0,10.99%,196.41,1,8,Sr. Production Manager,1,63597.0,Verified,Sep-15,Fully Paid,n,,4,Home improvement,130xx,33,30.8,0.1099
21,377837,5000.0,5000.0,0,10.99%,163.67,1,7,technician,3,67000.0,Source Verified,Jun-14,Fully Paid,n,,2,Debt consolidation,104xx,33,15.89,0.1099
22,1479766,32000.0,32000.0,1,19.03%,830.63,3,17,SANITATION,3,105000.0,Source Verified,May-17,Current,n,,1,Credit card refinancing,112xx,33,18.74,0.1903
23,1726865,2500.0,2500.0,0,15.05%,86.73,2,13,Server,3,40000.0,Not Verified,Oct-17,Current,n,,2,Debt consolidation,381xx,41,34.26,0.1505
24,1426542,5000.0,5000.0,0,7.97%,156.62,0,4,Sole Proprietor,3,24000.0,Source Verified,Jun-17,Current,n,,1,Credit card refinancing,840xx,43,7.75,0.0797
25,622222,27000.0,27000.0,0,13.99%,922.67,2,13,ass. manager,3,63000.0,Verified,Sep-15,Charged Off,n,,2,Debt consolidation,068xx,6,27.67,0.1399
26,1276928,8000.0,8000.0,0,7.24%,247.9,0,2,Senior Finance Mangager,2,225000.0,Verified,Nov-16,Current,n,,9,Other,231xx,44,7.7,0.0724
27,1378488,16000.0,16000.0,0,5.32%,481.84,0,0,ATSS,1,100000.0,Not Verified,Feb-17,Fully Paid,n,,2,Debt consolidation,727xx,2,9.65,0.0532
28,42856,3000.0,3000.0,0,7.90%,93.88,0,3,"Senior Director, Organizational Effectiv",1,114000.0,Not Verified,Dec-13,Fully Paid,n,,4,Home Improvements ,853xx,3,13.29,0.079
29,393556,2500.0,2500.0,0,6.03%,76.09,0,0,Billing Clerk,3,40000.0,Not Verified,May-14,Fully Paid,n,,1,Credit card refinancing,185xx,37,19.54,0.0603
30,1979495,12500.0,12500.0,0,6.71%,384.31,0,2,Administrative Assistant,3,36000.0,Not Verified,Apr-18,Current,n,,2,Debt consolidation,958xx,4,11.57,0.0671
31,391671,2800.0,2800.0,0,16.29%,98.85,3,16,Flight Attendant,1,50000.0,Verified,May-14,Fully Paid,n,,9,Other,891xx,32,9.6,0.1629
32,1499086,16975.0,16975.0,1,12.74%,383.98,2,10,Manufacturing Engineer,1,80000.0,Not Verified,Apr-17,Current,n,,1,Credit card refinancing,490xx,21,20.21,0.1274
33,354029,25000.0,25000.0,1,20.20%,665.14,4,22,rn,1,80000.0,Source Verified,Jul-14,Current,n,,2,Debt consolidation,285xx,26,18.5,0.20199999999999999
34,2017841,14000.0,14000.0,1,8.46%,286.97,0,4,Accounting Technician ,2,45276.0,Source Verified,Sep-18,Current,n,,2,Debt consolidation,932xx,4,24.3,0.0846
35,1918855,35000.0,35000.0,0,13.06%,1180.31,2,10,VP,3,200000.0,Not Verified,May-18,Current,n,,1,Credit card refinancing,606xx,13,22.87,0.1306
36,947944,34000.0,34000.0,0,8.39%,1071.57,1,5,Director of Government Affairs,1,79000.0,Source Verified,Mar-16,Fully Paid,n,,1,Credit card refinancing,207xx,19,25.16,0.0839
37,1760640,31875.0,31875.0,0,7.35%,989.32,0,3,Driver,1,78000.0,Source Verified,Oct-17,Current,n,,2,Debt consolidation,488xx,21,17.06,0.0735
38,1211768,27475.0,27475.0,0,13.99%,938.9,2,12,"Executive Director, CNCF",3,325000.0,Verified,Jul-16,Current,n,,1,Credit card refinancing,102xx,33,19.59,0.1399
39,881388,14125.0,14125.0,0,15.59%,493.74,3,15,sales,3,60000.0,Not Verified,Jan-15,Charged Off,n,,2,Debt consolidation,741xx,35,25.68,0.1559
40,827678,18400.0,18400.0,0,6.39%,563.03,0,1,Director of Special Services,1,115000.0,Source Verified,Feb-15,Fully Paid,n,,2,Debt consolidation,975xx,36,24.31,0.0639
41,1933376,10000.0,10000.0,0,18.45%,363.79,3,16,,1,60000.0,Source Verified,May-18,Current,n,,2,Debt consolidation,292xx,39,8.34,0.1845
42,1642515,28000.0,28000.0,1,26.30%,843.32,4,24,,2,91000.0,Source Verified,Jul-17,Current,n,,2,Debt consolidation,312xx,10,29.45,0.263
43,1274641,24000.0,24000.0,1,12.74%,542.89,2,10,Plant Engineer,2,75000.0,Source Verified,Nov-16,Current,n,,2,Debt consolidation,809xx,5,9.65,0.1274
44,1835574,9600.0,9600.0,0,9.93%,309.45,1,6,Sales Representative,1,80000.0,Not Verified,Feb-18,Current,n,,2,Debt consolidation,550xx,22,17.63,0.0993
45,489134,8000.0,8000.0,0,10.64%,260.55,1,8,Director of mail and print services,3,42000.0,Source Verified,Dec-15,Charged Off,n,,4,Home improvement,287xx,26,30.51,0.1064
46,391041,7000.0,7000.0,0,11.67%,231.4,1,8,Physical Security Specialist,3,97333.0,Verified,May-14,Fully Paid,n,,0,Car financing,207xx,19,8.11,0.1167
47,975042,28000.0,28000.0,0,13.67%,952.5,2,12,Analyst,1,125000.0,Not Verified,Feb-16,Fully Paid,n,,2,Debt consolidation,275xx,26,7.23,0.1367
48,68812,20000.0,20000.0,1,20.20%,532.11,3,19,Officer,3,92400.0,Source Verified,Nov-13,Charged Off,n,,0,Car financing,967xx,11,11.39,0.20199999999999999
49,110310,35000.0,35000.0,0,20.31%,1306.27,3,19,Data Systems Analyst Inc,1,115000.0,Verified,Aug-13,Fully Paid,n,,2,Consolidation,197xx,8,22.19,0.2031
50,1502021,20000.0,20000.0,1,14.99%,475.7,2,13,mechanic,1,70000.0,Not Verified,Apr-17,Charged Off,n,,2,Debt consolidation,468xx,14,24.53,0.1499
51,2062386,10000.0,10000.0,0,17.97%,361.38,3,15,Assistant Kitchen Manager,3,57600.0,Source Verified,Aug-18,Fully Paid,n,,2,Debt consolidation,346xx,9,17.79,0.1797
52,1734922,24300.0,24300.0,0,7.07%,751.1,0,1,Systems Engineer,3,140000.0,Verified,Oct-17,Current,n,,9,Other,913xx,4,1.98,0.0707
53,762689,19200.0,19200.0,1,14.65%,453.25,2,14,Project Manager ,1,80000.0,Source Verified,May-15,In Grace Period,n,,2,Debt consolidation,070xx,30,23.17,0.1465
54,591081,8000.0,8000.0,0,9.99%,258.1,1,7,RN,1,107000.0,Source Verified,Oct-15,Fully Paid,n,,4,Home improvement,120xx,33,19.99,0.0999
55,1632222,20000.0,20000.0,0,30.17%,850.9,5,27,Owner,2,64000.0,Verified,Jul-17,Current,n,,9,Other,321xx,9,20.23,0.3017
56,1187253,10400.0,10400.0,0,7.59%,323.94,0,2,Bid Blade Hand,1,75000.0,Not Verified,Jul-16,Fully Paid,n,,4,Home improvement,827xx,49,17.6,0.0759
57,1248307,5000.0,4950.0,0,11.39%,164.62,1,7,College Assistant ,3,18430.0,Source Verified,Dec-16,Current,n,,1,Credit card refinancing,917xx,4,27.82,0.1139
58,417452,12000.0,12000.0,0,6.03%,365.23,0,0,VP Marketing,1,180000.0,Not Verified,Apr-14,Fully Paid,n,,1,Credit card refinancing,800xx,5,9.62,0.0603
59,1972715,9600.0,9600.0,0,9.92%,309.41,1,6,Door Greeter,3,32000.0,Source Verified,Apr-18,Current,n,,2,Debt consolidation,794xx,42,13.73,0.0992
60,385339,12000.0,12000.0,0,15.61%,419.58,3,15,Phlebotomist,1,58000.0,Not Verified,May-14,Fully Paid,n,,2,Debt consolidation,487xx,21,17.09,0.1561
61,1010752,16000.0,16000.0,1,11.48%,351.73,1,9,Registered Nurse,3,71886.0,Not Verified,Jan-16,Fully Paid,n,,2,Debt consolidation,238xx,44,30.8,0.1148
62,344880,13925.0,13925.0,0,10.15%,450.31,1,6,spinner,1,31000.0,Not Verified,Jul-14,Fully Paid,n,,1,Credit card refinancing,284xx,26,12.2,0.1015
63,1021704,24000.0,24000.0,1,15.59%,578.42,2,14,Miner I,1,110000.0,Verified,Jun-16,Fully Paid,n,,1,Credit card refinancing,594xx,25,18.16,0.1559
64,873937,20000.0,20000.0,0,15.59%,699.1,3,15,Contract Software Engineer,3,85000.0,Source Verified,Jan-15,Fully Paid,n,,2,Debt consolidation,329xx,9,6.16,0.1559
65,1938503,3000.0,3000.0,0,6.83%,92.4,0,2,Logistic Dpto,1,60000.0,Source Verified,May-18,Current,n,,9,Other,331xx,9,9.54,0.0683
66,667139,12000.0,12000.0,0,7.89%,375.43,0,4,engineer,1,72500.0,Source Verified,Jul-15,Fully Paid,n,,1,Credit card refinancing,761xx,42,11.32,0.0789
67,1253437,5500.0,5500.0,0,8.24%,172.96,1,5,Customer sevice lead,3,55000.0,Source Verified,Dec-16,Fully Paid,n,,2,Debt consolidation,271xx,26,12.5,0.0824
68,1098025,35000.0,35000.0,0,16.29%,1235.52,3,15,IRON WORKER/WELDER,3,110000.0,Source Verified,Apr-16,Charged Off,n,,2,Debt consolidation,104xx,33,16.45,0.1629
69,430662,23225.0,23225.0,1,17.57%,584.35,3,16,Sales Supervisor,1,53000.0,Source Verified,Mar-14,Current,n,,2,Debt consolidation,534xx,47,17.71,0.1757
70,1311795,3025.0,3025.0,0,10.99%,99.03,1,8,Business Manager,2,60000.0,Source Verified,Oct-16,Late (31-120 days),n,,4,Home improvement,300xx,10,10.57,0.1099
71,2065747,20000.0,20000.0,0,16.14%,704.53,2,13,Mortgage closer,3,45000.0,Source Verified,Aug-18,Current,n,,2,Debt consolidation,596xx,25,25.06,0.1614
72,830011,26000.0,26000.0,1,9.99%,552.3,1,7,Database Administrator - Sr,1,121000.0,Source Verified,Feb-15,Fully Paid,n,,2,Debt consolidation,553xx,22,15.26,0.0999
73,341152,8000.0,8000.0,0,8.39%,252.14,0,4,Specialty Sales Manager,3,44000.0,Not Verified,Jul-14,Fully Paid,n,,1,Credit card refinancing,338xx,9,13.54,0.0839
74,720257,7225.0,7225.0,0,19.99%,268.48,4,23,Payroll Clerk,3,43200.0,Not Verified,Jun-15,Fully Paid,n,,2,Debt consolidation,100xx,33,3.5,0.1999
75,280472,20000.0,20000.0,1,12.99%,454.96,2,10,supervisor,1,47000.0,Source Verified,Oct-14,Fully Paid,n,,1,Credit card refinancing,458xx,34,27.48,0.1299
76,2030307,3500.0,3500.0,0,20.89%,131.67,3,18,Barista,1,45500.0,Not Verified,Sep-18,Current,n,,2,Debt consolidation,105xx,33,6.7,0.2089
